epoch, epoch_psnr_avg, epoch_losses_avg 
220, 32.0733, 0.024532
221, 32.1137, 0.024710
222, 32.0913, 0.024965
223, 32.0132, 0.024546
224, 32.0823, 0.024493
225, 32.0699, 0.024165
226, 32.0929, 0.024437
227, 32.0449, 0.024539
228, 32.1102, 0.024299
229, 32.1052, 0.024250
230, 32.1077, 0.024463
231, 32.1032, 0.024461
232, 32.0965, 0.024335
233, 32.0404, 0.024482
234, 32.1002, 0.024338
235, 32.1099, 0.024941
236, 32.0930, 0.024692
237, 32.0823, 0.024863
238, 32.1115, 0.024421
239, 32.0893, 0.024445
240, 32.0930, 0.025003
241, 32.1128, 0.024665
242, 32.0577, 0.024325
243, 32.1086, 0.024664
244, 31.9102, 0.024689
245, 32.1264, 0.024528
246, 32.0714, 0.024637
247, 32.0426, 0.024293
248, 32.0972, 0.024418
249, 32.0654, 0.024444
250, 32.1240, 0.024246
251, 32.0896, 0.024730
252, 32.0491, 0.024328
253, 32.0729, 0.024680
254, 32.0617, 0.024722
255, 32.0738, 0.024558
256, 32.1059, 0.024870
257, 32.1237, 0.024092
258, 32.0883, 0.024431
259, 32.1302, 0.024824
260, 32.1103, 0.024628
261, 32.0932, 0.024268
262, 32.1555, 0.024068
263, 32.0996, 0.024640
264, 32.0848, 0.024521
265, 32.0878, 0.024459
266, 32.0810, 0.024679
267, 32.1042, 0.024617
268, 32.0731, 0.024600
269, 32.0586, 0.024720
270, 32.0843, 0.024215
271, 32.1079, 0.024707
272, 32.0731, 0.024255
273, 32.0912, 0.024164
274, 32.0723, 0.024027
275, 32.1272, 0.024372
276, 32.0366, 0.024524
277, 32.1265, 0.024204
278, 32.1100, 0.024425
279, 32.0704, 0.024134
280, 32.1346, 0.024742
281, 32.1197, 0.024290
282, 32.0991, 0.024480
283, 32.0936, 0.024433
284, 32.0993, 0.024456
285, 32.1463, 0.024379
286, 32.1340, 0.024497
287, 32.1134, 0.024575
288, 32.1083, 0.024373
289, 32.1202, 0.024682
290, 32.1167, 0.024493
291, 32.1401, 0.024241
292, 32.1510, 0.023972
293, 32.1282, 0.024408
294, 32.1182, 0.024105
295, 32.0892, 0.023975
296, 32.0979, 0.024585
297, 32.0936, 0.024432
298, 32.0516, 0.024310
299, 32.1268, 0.024534
300, 32.0786, 0.024667
301, 32.1209, 0.024313
302, 32.0999, 0.024348
303, 32.1666, 0.024558
