epoch, epoch_psnr_avg, epoch_losses_avg 
220, 32.2154, 0.024309
221, 32.2563, 0.024103
222, 32.2422, 0.024065
223, 32.2307, 0.024074
224, 32.2333, 0.024216
225, 32.2273, 0.024363
226, 32.2606, 0.024144
227, 32.2578, 0.024158
228, 32.1837, 0.024216
229, 32.2363, 0.024257
230, 32.2283, 0.024002
231, 32.2459, 0.024124
232, 32.2257, 0.024654
233, 32.2438, 0.024281
234, 32.2251, 0.024202
235, 32.2177, 0.024397
236, 32.1927, 0.024218
237, 32.2107, 0.024208
238, 32.1364, 0.024339
239, 32.2308, 0.024004
240, 32.2338, 0.023685
241, 32.2281, 0.024063
242, 32.2209, 0.024205
243, 32.2304, 0.024179
244, 32.2612, 0.024446
245, 32.2292, 0.024631
246, 32.2316, 0.024061
247, 32.1714, 0.024107
248, 32.1888, 0.024211
249, 32.2505, 0.024140
250, 32.2602, 0.024160
251, 32.2481, 0.024336
252, 32.1563, 0.024140
253, 32.2446, 0.023996
254, 32.2342, 0.024024
255, 32.2301, 0.024417
256, 32.2357, 0.023848
257, 32.2391, 0.024142
258, 32.2557, 0.024110
259, 32.2795, 0.023694
260, 32.2187, 0.023907
261, 32.2932, 0.023873
262, 32.2285, 0.024440
263, 32.1817, 0.024317
264, 32.2742, 0.023823
265, 32.2404, 0.024101
266, 32.2059, 0.024220
267, 32.2686, 0.023993
268, 32.2625, 0.024038
269, 32.2854, 0.024223
270, 32.2604, 0.023683
271, 32.2616, 0.024183
272, 32.2653, 0.024211
273, 32.2212, 0.023902
274, 32.2353, 0.024028
275, 32.2333, 0.023967
276, 32.2664, 0.024261
277, 32.2357, 0.024464
278, 32.1906, 0.024372
279, 32.2522, 0.024683
280, 32.2579, 0.024409
281, 32.2254, 0.024127
282, 32.2095, 0.024012
283, 32.1901, 0.024223
284, 32.2755, 0.024106
285, 32.2433, 0.024323
286, 32.2328, 0.023843
287, 32.2025, 0.024252
288, 32.2015, 0.024192
289, 32.2048, 0.024070
290, 32.2656, 0.023811
291, 32.2681, 0.024252
292, 32.2094, 0.024116
293, 32.2345, 0.024431
294, 32.2781, 0.023877
295, 32.2737, 0.024275
296, 32.1848, 0.023923
297, 32.2834, 0.024128
298, 32.1526, 0.024085
299, 32.2943, 0.024081
300, 32.2153, 0.023882
301, 32.2435, 0.024074
302, 32.2657, 0.023900
303, 32.2515, 0.023498
304, 32.2349, 0.024065
305, 32.2651, 0.023696
306, 32.2601, 0.023898
307, 32.3090, 0.024219
308, 32.2693, 0.023851
309, 32.2445, 0.024196
310, 32.2469, 0.024106
311, 32.1225, 0.024246
312, 32.1540, 0.024057
313, 32.2998, 0.023929
314, 32.2708, 0.023876
315, 32.2079, 0.023829
316, 32.2571, 0.023684
317, 32.2714, 0.024572
318, 32.3030, 0.023845
319, 32.2757, 0.024415
320, 32.2227, 0.023826
321, 32.2060, 0.023548
322, 32.2397, 0.024160
323, 32.1858, 0.024388
324, 32.2921, 0.023964
325, 32.2751, 0.023534
326, 32.2586, 0.023823
327, 32.2761, 0.023923
328, 32.2801, 0.023503
329, 32.2976, 0.024018
330, 32.2194, 0.024061
331, 32.2264, 0.023773
332, 32.2717, 0.023853
333, 32.2746, 0.024207
334, 32.2878, 0.024193
335, 32.2482, 0.023935
336, 32.2391, 0.023902
337, 32.3031, 0.023836
338, 32.2969, 0.023868
339, 32.2602, 0.024133
340, 32.3009, 0.023959
341, 32.2794, 0.023871
342, 32.2765, 0.023868
343, 32.2752, 0.024058
344, 32.2983, 0.023973
345, 32.3166, 0.023851
346, 32.2788, 0.024214
347, 32.2552, 0.023996
348, 32.2495, 0.023801
349, 32.2940, 0.023991
350, 32.2809, 0.024265
351, 32.2198, 0.024044
352, 32.2798, 0.023755
353, 32.2474, 0.023981
354, 32.2912, 0.024031
355, 32.2282, 0.023703
356, 32.2805, 0.024164
357, 32.2727, 0.024110
358, 32.2511, 0.024143
359, 32.2286, 0.023992
360, 32.2882, 0.023651
361, 32.2598, 0.024134
362, 32.2745, 0.023916
363, 32.1930, 0.023470
364, 32.2827, 0.023716
365, 32.2543, 0.023859
366, 32.2890, 0.023504
367, 32.2795, 0.023940
368, 32.2504, 0.024306
369, 32.2607, 0.024010
370, 32.2942, 0.024059
371, 32.3056, 0.024257
372, 32.2725, 0.023862
373, 32.3449, 0.023918
374, 32.2268, 0.024062
375, 32.3198, 0.023915
376, 32.1560, 0.023681
377, 32.2753, 0.023691
378, 32.2835, 0.023890
379, 32.2705, 0.023950
380, 32.2733, 0.023522
381, 32.2770, 0.023959
382, 32.2873, 0.023644
383, 32.2756, 0.023891
384, 32.2466, 0.023801
385, 32.2523, 0.023659
386, 32.2568, 0.023834
387, 32.2666, 0.023796
388, 32.2739, 0.023828
389, 32.2849, 0.023995
390, 32.2933, 0.023407
391, 32.2941, 0.023801
392, 32.3224, 0.023571
393, 32.2872, 0.023840
394, 32.2904, 0.024148
395, 32.2328, 0.024013
396, 32.2980, 0.023723
397, 32.3029, 0.023581
398, 32.2615, 0.024088
399, 32.2989, 0.023710
400, 32.2810, 0.024206
401, 32.3027, 0.023466
402, 32.3093, 0.023498
403, 32.3389, 0.024113
404, 32.3144, 0.023724
405, 32.3152, 0.023720
406, 32.3388, 0.023460
407, 32.3181, 0.023180
408, 32.3208, 0.023857
