epoch, epoch_psnr_avg, epoch_losses_avg 
220, 32.1379, 0.024308
221, 32.1537, 0.024574
222, 32.1692, 0.024428
223, 32.1807, 0.024395
224, 32.1582, 0.023827
225, 32.1844, 0.023865
226, 32.1782, 0.024249
227, 32.0550, 0.023910
228, 32.1685, 0.024441
229, 32.1338, 0.024240
230, 32.1813, 0.023825
231, 32.1964, 0.024260
232, 32.1447, 0.023916
233, 32.1513, 0.023974
234, 32.0932, 0.024209
235, 32.1283, 0.023862
236, 32.1787, 0.024233
237, 32.2079, 0.023941
238, 32.1651, 0.024136
239, 32.1541, 0.024207
240, 32.1584, 0.024059
241, 32.1706, 0.023971
242, 32.1972, 0.023947
243, 32.2194, 0.024317
244, 32.2098, 0.024206
245, 32.1898, 0.024571
246, 32.1978, 0.024106
247, 32.1356, 0.024280
248, 32.1855, 0.024057
249, 32.2244, 0.024374
250, 32.2049, 0.023728
251, 32.1642, 0.023929
252, 32.2086, 0.023730
253, 32.1982, 0.024054
254, 32.2263, 0.024133
255, 32.1294, 0.024014
256, 32.1609, 0.023828
257, 32.2146, 0.024250
258, 32.1381, 0.023914
259, 32.2201, 0.024095
260, 32.1662, 0.023629
261, 32.1549, 0.024444
262, 32.2001, 0.024202
263, 32.2153, 0.023878
264, 32.2119, 0.024091
265, 32.2160, 0.023983
266, 32.1949, 0.024165
267, 32.1881, 0.024100
268, 32.2034, 0.023836
269, 32.1594, 0.024175
270, 32.1512, 0.023934
271, 32.2412, 0.023854
272, 32.1736, 0.024168
273, 32.1560, 0.023793
274, 32.2104, 0.024165
275, 32.1494, 0.024101
276, 32.1940, 0.024048
277, 32.1726, 0.023960
278, 32.1963, 0.023746
279, 32.1717, 0.024044
280, 32.1877, 0.024061
281, 32.1486, 0.024014
282, 32.2142, 0.023788
283, 32.1822, 0.023831
284, 32.1768, 0.024204
285, 32.2388, 0.024014
286, 32.1746, 0.024176
287, 32.2434, 0.023992
288, 32.2273, 0.024041
289, 32.2676, 0.023775
290, 32.2225, 0.024015
291, 32.2509, 0.024200
292, 32.2065, 0.024096
293, 32.1045, 0.024481
294, 32.2181, 0.024238
295, 32.2245, 0.023756
296, 32.1909, 0.023926
297, 32.2525, 0.023971
298, 32.2632, 0.024054
299, 32.2277, 0.024126
300, 32.2323, 0.024012
301, 32.2085, 0.023858
302, 32.1884, 0.024025
303, 32.2303, 0.023971
304, 32.2258, 0.023843
305, 32.1602, 0.024160
306, 32.2069, 0.024335
307, 32.2183, 0.024014
308, 32.2638, 0.023473
309, 32.2102, 0.023921
310, 32.2108, 0.023997
311, 32.2324, 0.024172
312, 32.1553, 0.024196
313, 32.2106, 0.023710
314, 32.2462, 0.024221
315, 32.1475, 0.024145
316, 32.1130, 0.024110
317, 32.2516, 0.023706
318, 32.2234, 0.024143
319, 32.3214, 0.024081
320, 32.2257, 0.024355
321, 32.2326, 0.024303
322, 32.2718, 0.024055
323, 32.2148, 0.023832
324, 32.2149, 0.024183
325, 32.2183, 0.024036
326, 32.1879, 0.023985
327, 32.2022, 0.024417
328, 32.2495, 0.024171
329, 32.2254, 0.024334
330, 32.2152, 0.024125
331, 32.2266, 0.023901
332, 32.1782, 0.024096
333, 32.2062, 0.024016
334, 32.2310, 0.023543
335, 32.2445, 0.023717
336, 32.2950, 0.024538
337, 32.2192, 0.024273
338, 32.1676, 0.023746
339, 32.2652, 0.024024
340, 32.2826, 0.023631
341, 32.1965, 0.023925
342, 32.2476, 0.024239
343, 32.2335, 0.024397
344, 32.2217, 0.023658
345, 32.2243, 0.024101
346, 32.2783, 0.024291
347, 32.2398, 0.024290
348, 32.2736, 0.023771
349, 32.2886, 0.023986
350, 32.2260, 0.023897
351, 32.2253, 0.023657
352, 32.2469, 0.023845
353, 32.2608, 0.023856
354, 32.2187, 0.023884
355, 32.1671, 0.024156
356, 32.2520, 0.024095
357, 32.2325, 0.023477
358, 32.2419, 0.023979
359, 32.2912, 0.023783
360, 32.2629, 0.023595
361, 32.2533, 0.023847
362, 32.1933, 0.023937
363, 32.2813, 0.024232
364, 32.2949, 0.023808
365, 32.2791, 0.023945
366, 32.2174, 0.023827
367, 32.2421, 0.024076
368, 32.2237, 0.024040
369, 32.2333, 0.023888
370, 32.2336, 0.024177
371, 32.2064, 0.023757
372, 32.2588, 0.024253
373, 32.2468, 0.023558
374, 32.2194, 0.024021
375, 32.2172, 0.023887
376, 32.2311, 0.024077
377, 32.2343, 0.024169
378, 32.2622, 0.023600
379, 32.2414, 0.024018
380, 32.2475, 0.023982
381, 32.2774, 0.023728
382, 32.1736, 0.024077
383, 32.3003, 0.024003
384, 32.3086, 0.023772
385, 32.2294, 0.023566
386, 32.2693, 0.024408
387, 32.2154, 0.023810
388, 32.2260, 0.024123
389, 32.2355, 0.024222
390, 32.2644, 0.023762
391, 32.2916, 0.024050
392, 32.1999, 0.023642
393, 32.2078, 0.023771
394, 32.2446, 0.023799
395, 32.2521, 0.023833
396, 32.2288, 0.023603
397, 32.2432, 0.024000
398, 32.3125, 0.023832
399, 32.1875, 0.023865
400, 32.2398, 0.023900
401, 32.3088, 0.023568
402, 32.3017, 0.024093
403, 32.2923, 0.023584
404, 32.3172, 0.023937
405, 32.3370, 0.023578
406, 32.3114, 0.023364
407, 32.2969, 0.023744
408, 32.3019, 0.024213
409, 32.3355, 0.023852
410, 32.2887, 0.023460
411, 32.2873, 0.023916
412, 32.3145, 0.023393
413, 32.3012, 0.023468
414, 32.2836, 0.023523
415, 32.3339, 0.023738
416, 32.2857, 0.023620
417, 32.2827, 0.024043
418, 32.3125, 0.024035
419, 32.2845, 0.023566
420, 32.2904, 0.023610
421, 32.3003, 0.023950
422, 32.2990, 0.023638
423, 32.2872, 0.023392
424, 32.3012, 0.023703
425, 32.3096, 0.023665
426, 32.3089, 0.023642
427, 32.2588, 0.023713
428, 32.2594, 0.023717
429, 32.2619, 0.023695
430, 32.3054, 0.023777
431, 32.2968, 0.023583
432, 32.2809, 0.023587
433, 32.2521, 0.023598
434, 32.2857, 0.023748
435, 32.3096, 0.023699
436, 32.3351, 0.023991
437, 32.3172, 0.023392
438, 32.2956, 0.023689
439, 32.3146, 0.023438
440, 32.2654, 0.023544
441, 32.2880, 0.023481
442, 32.2977, 0.023563
443, 32.2696, 0.023763
444, 32.3226, 0.023813
445, 32.3273, 0.023622
446, 32.3103, 0.023892
447, 32.2801, 0.023550
448, 32.3465, 0.023941
449, 32.3126, 0.023810
450, 32.3217, 0.023838
451, 32.2852, 0.023215
452, 32.2997, 0.023719
453, 32.2823, 0.023626
454, 32.3182, 0.024157
455, 32.3233, 0.023796
456, 32.2729, 0.023432
457, 32.3174, 0.023964
458, 32.3071, 0.024023
459, 32.3105, 0.023495
460, 32.3420, 0.023592
461, 32.2905, 0.023866
462, 32.3229, 0.023398
463, 32.2983, 0.023633
464, 32.3269, 0.023942
465, 32.3023, 0.023798
466, 32.3260, 0.023660
467, 32.3095, 0.023535
468, 32.2757, 0.023458
469, 32.3026, 0.023654
470, 32.3360, 0.023458
471, 32.3085, 0.023624
472, 32.2694, 0.023267
473, 32.3140, 0.023654
474, 32.3410, 0.023399
475, 32.2753, 0.023125
476, 32.2620, 0.023767
477, 32.3218, 0.024050
478, 32.3103, 0.023533
479, 32.3345, 0.023673
480, 32.3000, 0.023309
481, 32.2783, 0.023597
482, 32.2978, 0.023693
483, 32.2967, 0.023608
484, 32.2914, 0.023599
485, 32.2804, 0.023758
486, 32.2426, 0.023418
487, 32.2993, 0.023434
488, 32.2746, 0.023706
489, 32.3216, 0.023657
490, 32.3119, 0.023539
491, 32.3271, 0.023635
492, 32.3015, 0.023531
493, 32.3180, 0.023905
494, 32.3173, 0.023486
495, 32.3103, 0.023178
496, 32.2961, 0.023556
497, 32.3128, 0.023280
498, 32.2753, 0.023877
499, 32.2848, 0.023775
500, 32.2974, 0.023466
501, 32.3632, 0.023482
502, 32.3193, 0.023584
503, 32.3269, 0.023498
504, 32.3043, 0.023384
505, 32.3093, 0.023479
506, 32.3168, 0.023602
507, 32.2954, 0.023567
508, 32.3231, 0.023639
509, 32.3098, 0.023448
510, 32.2980, 0.023923
511, 32.2880, 0.023379
512, 32.3209, 0.023753
513, 32.3522, 0.023198
514, 32.3105, 0.023511
515, 32.3506, 0.023151
516, 32.3133, 0.023437
517, 32.3219, 0.023299
518, 32.2828, 0.023826
519, 32.2940, 0.023664
520, 32.3300, 0.023512
521, 32.2827, 0.023560
522, 32.2796, 0.024047
523, 32.3260, 0.023268
524, 32.2971, 0.023635
525, 32.3126, 0.023381
526, 32.3467, 0.023443
527, 32.2710, 0.023474
528, 32.3069, 0.023477
529, 32.3250, 0.023772
530, 32.2926, 0.023590
531, 32.3130, 0.023629
532, 32.3262, 0.023708
533, 32.3257, 0.023694
534, 32.3263, 0.023704
535, 32.2933, 0.023416
536, 32.3198, 0.023639
537, 32.3266, 0.023714
538, 32.3189, 0.023557
539, 32.2737, 0.023623
540, 32.3142, 0.023438
541, 32.2976, 0.023616
542, 32.3443, 0.023064
543, 32.3444, 0.023651
544, 32.3088, 0.023409
545, 32.3220, 0.023463
546, 32.3325, 0.023346
547, 32.3308, 0.023623
548, 32.3184, 0.023512
549, 32.3521, 0.023626
550, 32.3019, 0.023811
551, 32.3477, 0.023473
552, 32.3304, 0.023260
553, 32.3107, 0.023546
554, 32.3159, 0.023829
555, 32.2984, 0.023844
556, 32.3118, 0.023171
557, 32.3341, 0.023506
558, 32.3228, 0.023619
559, 32.2666, 0.023547
560, 32.2570, 0.023609
561, 32.3267, 0.023888
562, 32.3114, 0.023339
563, 32.2927, 0.023644
564, 32.2891, 0.023209
565, 32.2654, 0.023459
566, 32.3433, 0.023742
567, 32.3134, 0.022967
568, 32.3278, 0.023865
569, 32.3025, 0.023531
570, 32.3004, 0.023579
571, 32.3130, 0.023441
572, 32.3005, 0.023559
573, 32.3154, 0.023588
574, 32.3240, 0.023655
575, 32.2981, 0.023375
576, 32.3198, 0.023770
577, 32.3128, 0.023881
578, 32.2951, 0.023571
579, 32.3313, 0.023175
580, 32.3672, 0.023715
581, 32.2769, 0.023546
582, 32.3322, 0.023727
583, 32.3107, 0.023336
584, 32.2911, 0.023417
585, 32.3168, 0.023544
586, 32.3220, 0.023505
